Test_Number,Unix_Start_Time,Local_Start_Time,UTC_Start_Time,Characters,Seconds,CPS,WPM,Mistake_Free_Test,Backspaces as % of Verse Length,Incorrect Characters as % of Verse Length,Book,Chapter,Verse #,Verse,Verse_Order,Autostart,% of Words Typed Correctly,Extra Keystrokes %,Test Version,Location,Keyboard,Layout,Caffeine,Custom_1,Custom_2,Custom_3,WPM_Rank,WPM_Percentile,Last 10 Avg,Last 100 Avg,Last 1000 Avg,Incorrect Character % Last 10 Avg,Incorrect Character % Last 100 Avg,Incorrect Character % Last 1000 Avg,Extra Keystrokes % Last 10 Avg,Extra Keystrokes % Last 100 Avg,Extra Keystrokes % Last 1000 Avg,Local_Start_Year,Local_Start_Month,Local_Start_Date,Local_Start_Hour,Local_Start_Minute,Local_Start_10_Minute_Block,Local_Start_15_Minute_Block,Local_Start_30_Minute_Block,Count,Local_End_Time,Local_End_Year,Local_End_Month,Local_End_Date,Local_End_Hour,Local_End_Minute,Local_End_15_Minute_Block,Local_End_10_Minute_Block,Local_End_30_Minute_Block,cumulative_avg,Session,Test_#_Within_Session
1,1718251735.0,2024-07-21 08:54:00,2024-06-13 04:08:54.629079+00:00,56,18.33449675,3.054351628,36.65221954,0,7.142857143,7.142857143,GEN,1,1,"In the beginning, God created the heavens and the earth.",1,1,90.0,14.28571429,v2,home,mac,qwerty,yes,,,,2442,2.203525641025641,,,,,,,,,,2024.0,7.0,2024-07-21,8.0,54.0,6.0,4.0,2.0,1,2024-07-21 08:54:18.334496750,2024.0,7.0,2024-07-21,8.0,54.0,4.0,6.0,2.0,36.652,1,1
2,1718251753.0,2024-07-21 09:13:00,2024-06-13 04:09:12.984307+00:00,135,38.44427692,3.511575996,42.13891195,0,8.148148148,8.148148148,GEN,1,2,The earth was formless and empty. Darkness was on the surface of the deep and God's Spirit was hovering over the surface of the waters.,2,1,92.0,16.2962963,v2,home,mac,qwerty,yes,,,,2373,4.967948717948718,,,,,,,,,,2024.0,7.0,2024-07-21,9.0,13.0,2.0,1.0,1.0,1,2024-07-21 09:13:38.444276920,2024.0,7.0,2024-07-21,9.0,13.0,1.0,2.0,1.0,39.396,2,1
3,1718251791.0,2024-07-21 09:51:00,2024-06-13 04:09:51.440488+00:00,52,17.20255054,3.02280757,36.27369084,0,5.769230769,5.769230769,GEN,1,3,"God said, ""Let there be light,"" and there was light.",3,1,80.0,11.53846154,v2,home,mac,qwerty,yes,,,,2445,2.083333333333333,,,,,,,,,,2024.0,7.0,2024-07-21,9.0,51.0,6.0,4.0,2.0,1,2024-07-21 09:51:17.202550540,2024.0,7.0,2024-07-21,9.0,51.0,4.0,6.0,2.0,38.355,3,1
4,1718251809.0,2024-07-21 10:08:00,2024-06-13 04:10:08.658460+00:00,85,21.86266238,3.887907088,46.65488505,0,4.705882353,4.705882353,GEN,1,4,"God saw the light, and saw that it was good. God divided the light from the darkness.",4,1,82.35294118,9.411764706,v2,home,mac,qwerty,yes,,,,2256,9.655448717948719,,,,,,,,,,2024.0,7.0,2024-07-21,10.0,8.0,1.0,1.0,1.0,1,2024-07-21 10:08:21.862662380,2024.0,7.0,2024-07-21,10.0,8.0,1.0,1.0,1.0,40.43,4,1
5,1718251831.0,2024-07-21 10:30:00,2024-06-13 04:10:30.537727+00:00,119,46.28391683,2.5710875,30.85304999,0,35.29411765,31.09243697,GEN,1,5,"God called the light ""day"", and the darkness he called ""night"". There was evening and there was morning, the first day.",5,1,80.95238095,70.58823529,v2,home,mac,qwerty,yes,,,,2469,1.1217948717948718,,,,,,,,,,2024.0,7.0,2024-07-21,10.0,30.0,4.0,3.0,2.0,1,2024-07-21 10:30:46.283916830,2024.0,7.0,2024-07-21,10.0,30.0,3.0,4.0,2.0,38.515,5,1
6,1718251877.0,2024-07-21 11:16:00,2024-06-13 04:11:16.850163+00:00,110,27.146175,4.052136259,48.6256351,0,3.636363636,3.636363636,GEN,1,6,"God said, ""Let there be an expanse in the middle of the waters, and let it divide the waters from the waters.""",6,1,90.90909091,7.272727273,v2,home,mac,qwerty,yes,,,,2192,12.219551282051281,,,,,,,,,,2024.0,7.0,2024-07-21,11.0,16.0,2.0,2.0,1.0,1,2024-07-21 11:16:27.146175000,2024.0,7.0,2024-07-21,11.0,16.0,2.0,2.0,1.0,40.2,6,1
7,1718251904.0,2024-07-21 11:44:00,2024-06-13 04:11:44.002037+00:00,134,34.02749183,3.937992276,47.25590731,0,4.47761194,4.47761194,GEN,1,7,"God made the expanse, and divided the waters which were under the expanse from the waters which were above the expanse; and it was so.",7,1,88.0,8.955223881,v2,home,mac,qwerty,yes,,,,2235,10.496794871794872,,,,,,,,,,2024.0,7.0,2024-07-21,11.0,44.0,5.0,3.0,2.0,1,2024-07-21 11:44:34.027491830,2024.0,7.0,2024-07-21,11.0,44.0,3.0,5.0,2.0,41.208,7,1
8,1718253757.0,,2024-06-13 04:42:36.553218+00:00,84,23.37744967,3.593206325,43.1184759,0,8.333333333,5.952380952,GEN,1,8,"God called the expanse ""sky"". There was evening and there was morning, a second day.",8,0,86.66666667,14.28571429,v2,,mac,qwerty,yes,,,,2352,5.809294871794872,,,,,,,,,,,,,,,,,,1,,,,,,,,,,41.447,7,2
9,1718254691.0,,2024-06-13 04:58:11.091695+00:00,119,30.70455313,3.8756467,46.5077604,0,2.521008403,2.521008403,GEN,1,9,"God said, ""Let the waters under the sky be gathered together to one place, and let the dry land appear;"" and it was so.",9,1,95.83333333,5.042016807,v2,,mac,qwerty,yes,,,,2265,9.294871794871796,,,,,,,,,,,,,,,,,,1,,,,,,,,,,42.009,7,3
10,1718328611.0,,2024-06-14 01:30:10.990194+00:00,117,28.72093271,4.073683859,48.88420631,0,8.547008547,8.547008547,GEN,1,10,"God called the dry land ""earth"", and the gathering together of the waters he called ""seas"". God saw that it was good.",10,1,90.90909091,17.09401709,v2,,mac,qwerty,yes,,,,2178,12.780448717948717,42.696474239,,,8.1992928861,,,17.4770171467,,,,,,,,,,,1,,,,,,,,,,42.696,7,4
11,1718328640.0,,2024-06-14 01:30:39.859760+00:00,161,34.19665583,4.708062706,56.49675247,0,1.863354037,1.863354037,GEN,1,11,"God said, ""Let the earth yield grass, herbs yielding seeds, and fruit trees bearing fruit after their kind, with their seeds in it, on the earth;"" and it was so.",11,1,93.33333333,3.726708075,v2,,mac,qwerty,yes,,,,1766,29.286858974358974,44.680927532,,,7.671342575500001,,,16.421116525200002,,,,,,,,,,,1,,,,,,,,,,43.951,7,5
12,1718328674.0,,2024-06-14 01:31:14.074955+00:00,159,32.84751154,4.84054933,58.08659196,0,1.886792453,1.886792453,GEN,1,12,"The earth yielded grass, herbs yielding seed after their kind, and trees bearing fruit, with their seeds in it, after their kind; and God saw that it was good.",12,1,89.65517241,3.773584906,v2,,mac,qwerty,yes,,,,1658,33.61378205128205,46.275695533,,,7.045207006,,,15.168845385800001,,,,,,,,,,,1,,,,,,,,,,45.129,7,6
13,1718328707.0,,2024-06-14 01:31:46.928509+00:00,53,8.258765917,6.417423684,77.00908421,1,0.0,0.0,GEN,1,13,"There was evening and there was morning, a third day.",13,1,100.0,0.0,v2,,mac,qwerty,yes,,,,179,92.86858974358975,50.34923487,,,6.468283929099999,,,14.014999231800001,,,,,,,,,,,1,,,,,,,,,,47.581,7,7
14,1718328715.0,,2024-06-14 01:31:55.201365+00:00,150,31.86950267,4.706694095,56.48032913,0,6.666666667,6.666666667,GEN,1,14,"God said, ""Let there be lights in the expanse of the sky to divide the day from the night; and let them be for signs to mark seasons, days, and years;",14,1,90.32258065,13.33333333,v2,,mac,qwerty,yes,,,,1769,29.166666666666668,51.331779278,,,6.6643623605,,,14.4071560942,,,,,,,,,,,1,,,,,,,,,,48.217,7,8
15,1718328747.0,,2024-06-14 01:32:27.077239+00:00,96,16.97213704,5.656329534,67.8759544,0,2.083333333,2.083333333,GEN,1,15,"and let them be for lights in the expanse of the sky to give light on the earth;"" and it was so.",15,1,95.45454545,4.166666667,v2,,mac,qwerty,yes,,,,765,69.39102564102564,55.034069719,,,3.7634519967999998,,,7.764999231900001,,,,,,,,,,,1,,,,,,,,,,49.528,7,9
16,1718328764.0,,2024-06-14 01:32:44.062503+00:00,129,24.98851913,5.162370741,61.9484489,0,3.100775194,3.100775194,GEN,1,16,"God made the two great lights: the greater light to rule the day, and the lesser light to rule the night. He also made the stars.",16,1,92.30769231,6.201550388,v2,,mac,qwerty,yes,,,,1307,47.67628205128205,56.366351099,,,3.7098931526000003,,,7.6578815434,,,,,,,,,,,1,,,,,,,,,,50.304,7,10
17,1718328789.0,,2024-06-14 01:33:09.074222+00:00,66,13.82403071,4.77429495,57.2915394,0,12.12121212,12.12121212,GEN,1,17,"God set them in the expanse of the sky to give light to the earth,",17,1,86.66666667,24.24242424,v2,,mac,qwerty,yes,,,,1712,31.45032051282051,57.369914308,,,4.474253170599999,,,9.1866015793,,,,,,,,,,,1,,,,,,,,,,50.715,7,11
18,1718328803.0,,2024-06-14 01:33:22.914606+00:00,113,18.52789492,6.098911965,73.18694358,0,2.654867257,2.654867257,GEN,1,18,"and to rule over the day and over the night, and to divide the light from the darkness. God saw that it was good.",18,1,95.83333333,5.309734513,v2,,mac,qwerty,yes,,,,347,86.13782051282051,60.376761076,,,4.1445018011000005,,,8.2890036016,,,,,,,,,,,1,,,,,,,,,,51.963,7,12
19,1718328821.0,,2024-06-14 01:33:41.448285+00:00,54,8.470807208,6.374835204,76.49802245,0,1.851851852,1.851851852,GEN,1,19,"There was evening and there was morning, a fourth day.",19,1,90.0,3.703703704,v2,,mac,qwerty,yes,,,,197,92.1474358974359,63.375787281,,,4.077586146,,,8.155172291300001,,,,,,,,,,,1,,,,,,,,,,53.255,7,13
20,1718328830.0,,2024-06-14 01:33:49.935024+00:00,122,27.22653279,4.48092311,53.77107732,0,8.196721311,7.37704918,GEN,1,20,"God said, ""Let the waters abound with living creatures, and let birds fly above the earth in the open expanse of the sky.""",20,1,91.30434783,16.39344262,v2,,mac,qwerty,yes,,,,1936,22.47596153846154,63.86447438199999,,,3.9605902093,,,8.0851148443,,,,,,,,,,,1,,,,,,,,,,53.28,7,14
21,1718328857.0,,2024-06-14 01:34:17.271659+00:00,186,33.03487367,5.63041354,67.56496248,0,1.075268817,1.075268817,GEN,1,21,"God created the large sea creatures and every living creature that moves, with which the waters swarmed, after their kind, and every winged bird after its kind. God saw that it was good.",21,1,96.96969697,2.150537634,v2,,mac,qwerty,yes,,,,792,68.30929487179486,64.97129538300001,,,3.8817816872999997,,,7.927497800199999,,,,,,,,,,,1,,,,,,,,,,53.961,7,15
22,1718328890.0,,2024-06-14 01:34:50.323656+00:00,124,22.13780963,5.601276825,67.2153219,0,1.612903226,0.806451613,GEN,1,22,"God blessed them, saying, ""Be fruitful, and multiply, and fill the waters in the seas, and let birds multiply on the earth.""",22,1,95.45454545,3.225806452,v2,,mac,qwerty,yes,,,,821,67.1474358974359,65.884168377,,,3.7737476033,,,7.8727199548,,,,,,,,,,,1,,,,,,,,,,54.563,7,16
23,1718328912.0,,2024-06-14 01:35:12.479249+00:00,53,11.04538638,4.798383524,57.58060229,0,11.32075472,9.433962264,GEN,1,23,"There was evening and there was morning, a fifth day.",23,1,90.0,22.64150943,v2,,mac,qwerty,yes,,,,1699,31.971153846153843,63.941320184999995,,,4.7171438297,,,10.1368708978,,,,,,,,,,,1,,,,,,,,,,54.694,7,17
24,1718328924.0,,2024-06-14 01:35:23.536387+00:00,154,28.20187138,5.460630536,65.52756643,0,0.649350649,0.649350649,GEN,1,24,"God said, ""Let the earth produce living creatures after their kind, livestock, creeping things, and animals of the earth after their kind;"" and it was so.",24,1,96.15384615,1.298701299,v2,,mac,qwerty,yes,,,,968,61.25801282051282,64.846043915,,,4.1154122279,,,8.933407694699998,,,,,,,,,,,1,,,,,,,,,,55.146,7,18
25,1718328952.0,,2024-06-14 01:35:51.755266+00:00,170,26.07151763,6.520525673,78.24630807,0,1.176470588,1.176470588,GEN,1,25,"God made the animals of the earth after their kind, and the livestock after their kind, and everything that creeps on the ground after its kind. God saw that it was good.",25,1,100.0,2.352941176,v2,,mac,qwerty,yes,,,,136,94.59134615384616,65.88307928200001,,,4.0247259534,,,8.752035145599999,,,,,,,,,,,1,,,,,,,,,,56.07,7,19
26,1718328978.0,,2024-06-14 01:36:17.840890+00:00,244,43.11879263,5.658785535,67.90542642,0,0.819672131,0.819672131,GEN,1,26,"God said, ""Let's make man in our image, after our likeness. Let them have dominion over the fish of the sea, and over the birds of the sky, and over the livestock, and over all the earth, and over every creeping thing that creeps on the earth.""",26,1,97.87234043,1.639344262,v2,,mac,qwerty,yes,,,,763,69.47115384615384,66.478777034,,,3.7966156471,,,8.295814533,,,,,,,,,,,1,,,,,,,,,,56.525,7,20
27,1718329021.0,,2024-06-14 01:37:00.977532+00:00,97,16.20305988,5.986523579,71.83828295,1,0.0,0.0,GEN,1,27,God created man in his own image. In God's image he created him; male and female he created them.,27,1,100.0,0.0,v2,,mac,qwerty,yes,,,,432,82.7323717948718,67.933451389,,,2.5844944351,,,5.871572109,,,,,,,,,,,1,,,,,,,,,,57.092,7,21
28,1718329037.0,,2024-06-14 01:37:17.192239+00:00,211,49.08987583,4.298238617,51.5788634,0,14.69194313,14.21800948,GEN,1,28,"God blessed them. God said to them, ""Be fruitful, multiply, fill the earth, and subdue it. Have dominion over the fish of the sea, over the birds of the sky, and over every living thing that moves on the earth.""",28,1,95.0,29.38388626,v2,,mac,qwerty,yes,,,,2065,17.307692307692307,65.77264337099999,,,3.7408086574,,,8.2789872837,,,,,,,,,,,1,,,,,,,,,,56.895,7,22
29,1718329086.0,,2024-06-14 01:38:06.304382+00:00,174,31.68791775,5.491051869,65.89262243,0,0.574712644,0.0,GEN,1,29,"God said, ""Behold, I have given you every herb yielding seed, which is on the surface of all the earth, and every tree, which bears fruit yielding seed. It will be your food.",29,1,96.96969697,1.149425287,v2,,mac,qwerty,yes,,,,938,62.45993589743589,64.712103369,,,3.5556234721999997,,,8.023559442000002,,,,,,,,,,,1,,,,,,,,,,57.205,7,23
30,1718329118.0,,2024-06-14 01:38:38.009958+00:00,183,31.15430858,5.873986884,70.48784261,1,0.0,0.0,GEN,1,30,"To every animal of the earth, and to every bird of the sky, and to everything that creeps on the earth, in which there is life, I have given every green herb for food;"" and it was so.",30,1,100.0,0.0,v2,,mac,qwerty,yes,,,,539,78.44551282051282,66.383779898,,,2.8179185542,,,6.38421518,,,,,,,,,,,1,,,,,,,,,,57.648,7,24
31,1718329149.0,,2024-06-14 01:39:09.305094+00:00,121,23.65746625,5.114664382,61.37597259,0,7.438016529,7.438016529,GEN,1,31,"God saw everything that he had made, and, behold, it was very good. There was evening and there was morning, a sixth day.",31,1,91.30434783,14.87603306,v2,,mac,qwerty,yes,,,,1380,44.75160256410257,65.764880909,,,3.4541933254,,,7.6567647226,,,,,,,,,,,1,,,,,,,,,,57.768,7,25
32,1718329173.0,,2024-06-14 01:39:32.976101+00:00,63,11.29483458,5.57777093,66.93325116,0,4.761904762,4.761904762,GEN,2,1,"The heavens, the earth, and all their vast array were finished.",32,1,81.81818182,9.523809524,v2,,mac,qwerty,yes,,,,839,66.42628205128204,65.736673835,,,3.8497386403,,,8.2865650298,,,,,,,,,,,1,,,,,,,,,,58.055,7,26
33,1718329184.0,,2024-06-14 01:39:44.288168+00:00,129,22.42440029,5.752662204,69.03194645,0,2.325581395,1.550387597,GEN,2,2,On the seventh day God finished his work which he had done; and he rested on the seventh day from all his work which he had done.,33,1,92.59259259,4.651162791,v2,,mac,qwerty,yes,,,,674,73.03685897435898,66.88180825100001,,,3.0613811736,,,6.4875303659,,,,,,,,,,,1,,,,,,,,,,58.388,7,27
34,1718329207.0,,2024-06-14 01:40:06.729314+00:00,119,20.20492004,5.889654587,70.67585504,0,1.680672269,0.0,GEN,2,3,"God blessed the seventh day, and made it holy, because he rested in it from all his work of creation which he had done.",34,1,95.83333333,3.361344538,v2,,mac,qwerty,yes,,,,528,78.88621794871796,67.39663711200001,,,2.9964461087,,,6.693794689800001,,,,,,,,,,,1,,,,,,,,,,58.749,7,28
35,1718329227.0,,2024-06-14 01:40:26.952054+00:00,153,28.85615229,5.302162203,63.62594643,0,2.614379085,2.614379085,GEN,2,4,"This is the history of the generations of the heavens and of the earth when they were created, in the day that Yahweh God made the earth and the heavens.",35,1,93.33333333,5.22875817,v2,,mac,qwerty,yes,,,,1148,54.046474358974365,65.934600948,,,3.1402369584,,,6.981376389199999,,,,,,,,,,,1,,,,,,,,,,58.888,7,29
36,1718329256.0,,2024-06-14 01:40:55.825844+00:00,182,36.05045467,5.048480017,60.58176021,0,1.648351648,1.648351648,GEN,2,5,"No plant of the field was yet in the earth, and no herb of the field had yet sprung up; for Yahweh God had not caused it to rain on the earth. There was not a man to till the ground,",36,1,97.56097561,3.296703297,v2,,mac,qwerty,yes,,,,1440,42.34775641025641,65.202234327,,,3.2231049101000004,,,7.147112292700001,,,,,,,,,,,1,,,,,,,,,,58.935,7,30
37,1718329292.0,,2024-06-14 01:41:31.894413+00:00,79,13.63312942,5.794707699,69.53649239,0,5.063291139,2.53164557,GEN,2,6,"but a mist went up from the earth, and watered the whole surface of the ground.",37,1,93.75,10.12658228,v2,,mac,qwerty,yes,,,,625,75.0,64.972055271,,,3.4762694671,,,8.1597705207,,,,,,,,,,,1,,,,,,,,,,59.222,7,31
38,1718329306.0,,2024-06-14 01:41:45.533034+00:00,131,27.54820675,4.755300452,57.06360542,0,6.106870229,6.106870229,GEN,2,7,"Yahweh God formed man from the dust of the ground, and breathed into his nostrils the breath of life; and man became a living soul.",38,1,88.0,12.21374046,v2,,mac,qwerty,yes,,,,1734,30.56891025641026,65.52052947300001,,,2.665155542,,,6.442755940700001,,,,,,,,,,,1,,,,,,,,,,59.165,7,32
39,1718329333.0,,2024-06-14 01:42:13.099280+00:00,91,21.39328942,4.253670309,51.04404371,0,8.791208791,8.791208791,GEN,2,8,"Yahweh God planted a garden eastward, in Eden, and there he put the man whom he had formed.",39,1,88.88888889,17.58241758,v2,,mac,qwerty,yes,,,,2082,16.626602564102562,64.035671601,,,3.5442764211,,,8.08605517,,,,,,,,,,,1,,,,,,,,,,58.957,7,33
40,1718329355.0,,2024-06-14 01:42:34.510391+00:00,205,40.18349738,5.10159676,61.21916112,0,6.341463415,6.341463415,GEN,2,9,"Out of the ground Yahweh God made every tree to grow that is pleasant to the sight, and good for food, including the tree of life in the middle of the garden and the tree of the knowledge of good and evil.",40,1,92.85714286,12.68292683,v2,,mac,qwerty,yes,,,,1394,44.190705128205124,63.108803452000004,,,4.1784227626,,,9.354347853,,,,,,,,,,,1,,,,,,,,,,59.013,7,34
41,1718329395.0,,2024-06-14 01:43:14.837218+00:00,113,18.74331663,6.028815618,72.34578741,1,0.0,0.0,GEN,2,10,"A river went out of Eden to water the garden; and from there it was parted, and became the source of four rivers.",41,1,100.0,0.0,v2,,mac,qwerty,yes,,,,402,83.93429487179486,64.205784934,,,3.4346211097,,,7.866744547000001,,,,,,,,,,,1,,,,,,,,,,59.339,7,35
42,1718329414.0,,2024-06-14 01:43:33.597967+00:00,97,17.21151321,5.635762459,67.62914951,0,2.06185567,0.0,GEN,2,11,"The name of the first is Pishon: it flows through the whole land of Havilah, where there is gold;",42,1,100.0,4.12371134,v2,,mac,qwerty,yes,,,,787,68.50961538461539,64.27537476900001,,,2.9584306335,,,7.3267347286,,,,,,,,,,,1,,,,,,,,,,59.536,7,36
43,1718329431.0,,2024-06-14 01:43:50.831605+00:00,74,14.57888154,5.075835193,60.91002232,1,0.0,0.0,GEN,2,12,and the gold of that land is good. Bdellium and onyx stone are also there.,43,1,100.0,0.0,v2,,mac,qwerty,yes,,,,1420,43.14903846153847,63.46318235599999,,,2.8033918738,,,6.8616184495,,,,,,,,,,,1,,,,,,,,,,59.568,7,37
44,1718329445.0,,2024-06-14 01:44:05.425736+00:00,102,19.18974867,5.315337984,63.78405581,0,9.803921569,9.803921569,GEN,2,13,The name of the second river is Gihon. It is the same river that flows through the whole land of Cush.,44,1,90.47619048,19.60784314,v2,,mac,qwerty,yes,,,,1133,54.64743589743589,62.774002433,,,3.7837840307,,,8.4862683097,,,,,,,,,,,1,,,,,,,,,,59.664,7,38
45,1718329465.0,,2024-06-14 01:44:24.622058+00:00,124,24.14027371,5.136644327,61.63973192,0,4.032258065,4.032258065,GEN,2,14,The name of the third river is Hiddekel. This is the one which flows in front of Assyria. The fourth river is the Euphrates.,45,1,87.5,8.064516129,v2,,mac,qwerty,yes,,,,1347,46.07371794871795,62.575380982,,,3.9255719286999997,,,8.769844105599999,,,,,,,,,,,1,,,,,,,,,,59.708,7,39
46,1718329489.0,,2024-06-14 01:44:48.779942+00:00,86,17.51605588,4.909781095,58.91737314,0,3.488372093,2.325581395,GEN,2,15,"Yahweh God took the man, and put him into the garden of Eden to cultivate and keep it.",46,1,94.44444444,6.976744186,v2,,mac,qwerty,yes,,,,1578,36.818910256410255,62.408942275,,,3.9932949034000003,,,9.1378481945,,,,,,,,,,,1,,,,,,,,,,59.69,7,40
47,1718329506.0,,2024-06-14 01:45:06.316130+00:00,86,17.94713642,4.7918508,57.5022096,1,0.0,0.0,GEN,2,16,"Yahweh God commanded the man, saying, ""You may freely eat of every tree of the garden;",47,1,100.0,0.0,v2,,mac,qwerty,yes,,,,1702,31.850961538461537,61.205513996,,,3.7401303464,,,8.1251899665,,,,,,,,,,,1,,,,,,,,,,59.644,7,41
48,1718329524.0,,2024-06-14 01:45:24.277749+00:00,125,21.90749371,5.705810152,68.46972182,0,1.6,0.8,GEN,2,17,"but you shall not eat of the tree of the knowledge of good and evil; for in the day that you eat of it, you will surely die.""",48,1,96.42857143,3.2,v2,,mac,qwerty,yes,,,,724,71.03365384615384,62.346125636,,,3.2094433235000004,,,7.2238159205,,,,,,,,,,,1,,,,,,,,,,59.828,7,42
49,1718329546.0,,2024-06-14 01:45:46.201615+00:00,102,19.36329863,5.267697512,63.21237015,0,0.980392157,0.980392157,GEN,2,18,"Yahweh God said, ""It is not good for the man to be alone. I will make him a helper comparable to him.""",49,1,95.45454545,1.960784314,v2,,mac,qwerty,yes,,,,1182,52.68429487179487,63.56295828,,,2.4283616600999998,,,5.6616525938999995,,,,,,,,,,,1,,,,,,,,,,59.897,7,43
50,1718329566.0,,2024-06-14 01:46:05.586744+00:00,212,34.84866817,6.083446259,73.00135511,1,0.0,0.0,GEN,2,19,"Out of the ground Yahweh God formed every animal of the field, and every bird of the sky, and brought them to the man to see what he would call them. Whatever the man called every living creature became its name.",50,1,100.0,0.0,v2,,mac,qwerty,yes,,,,353,85.8974358974359,64.741177679,,,1.7942153185999998,,,4.3933599109,,,,,,,,,,,1,,,,,,,,,,60.159,7,44
51,1718329601.0,,2024-06-14 01:46:40.576775+00:00,159,27.59172879,5.762596508,69.1511581,0,1.886792453,1.886792453,GEN,2,20,"The man gave names to all livestock, and to the birds of the sky, and to every animal of the field; but for man there was not found a helper comparable to him.",51,1,93.93939394,3.773584906,v2,,mac,qwerty,yes,,,,657,73.71794871794873,64.421714748,,,1.9828945639,,,4.7707184015,,,,,,,,,,,1,,,,,,,,,,60.335,7,45
52,1718329628.0,,2024-06-14 01:47:08.188222+00:00,133,21.97112458,6.053399747,72.64079697,1,0.0,0.0,GEN,2,21,"Yahweh God caused the man to fall into a deep sleep. As the man slept, he took one of his ribs, and closed up the flesh in its place.",52,1,100.0,0.0,v2,,mac,qwerty,yes,,,,386,84.57532051282051,64.922879494,,,1.9828945639,,,4.3583472675,,,,,,,,,,,1,,,,,,,,,,60.572,7,46
53,1718329650.0,,2024-06-14 01:47:30.172831+00:00,97,24.12668008,4.020445402,48.24534482,0,17.5257732,16.49484536,GEN,2,22,"Yahweh God made a woman from the rib which he had taken from the man, and brought her to the man.",53,1,85.71428571,35.05154639,v2,,mac,qwerty,yes,,,,2206,11.658653846153847,63.656411744,,,3.6323790998999996,,,7.8635019065,,,,,,,,,,,1,,,,,,,,,,60.339,7,47
54,1718329674.0,,2024-06-14 01:47:54.316259+00:00,130,26.92705521,4.827858041,57.93429649,0,3.846153846,3.846153846,GEN,2,23,"The man said, ""This is now bone of my bones, and flesh of my flesh. She will be called 'woman,' because she was taken out of Man.""",54,1,92.59259259,7.692307692,v2,,mac,qwerty,yes,,,,1671,33.092948717948715,63.071435812000004,,,3.0366023276,,,6.671948361700001,,,,,,,,,,,1,,,,,,,,,,60.295,7,48
55,1718329701.0,,2024-06-14 01:48:21.258063+00:00,110,16.75351229,6.565787405,78.78944886,1,0.0,0.0,GEN,2,24,"Therefore a man will leave his father and his mother, and will join with his wife, and they will be one flesh.",55,1,100.0,0.0,v2,,mac,qwerty,yes,,,,119,95.2724358974359,64.786407506,,,2.6333765210999998,,,5.8654967488,,,,,,,,,,,1,,,,,,,,,,60.631,7,49
56,1718329718.0,,2024-06-14 01:48:38.028842+00:00,64,12.86358017,4.975286753,59.70344104,0,9.375,9.375,GEN,2,25,"The man and his wife were both naked, and they were not ashamed.",56,1,84.61538462,18.75,v2,,mac,qwerty,yes,,,,1522,39.0625,64.865014296,,,3.3383183815999997,,,7.042822330199999,,,,,,,,,,,1,,,,,,,,,,60.614,7,50
57,1718329731.0,,2024-06-14 01:48:50.908638+00:00,179,37.53227358,4.769228797,57.23074557,0,4.469273743,4.469273743,GEN,3,1,"Now the serpent was more subtle than any animal of the field which Yahweh God had made. He said to the woman, ""Has God really said, 'You shall not eat of any tree of the garden'?""",57,1,86.11111111,8.938547486,v2,,mac,qwerty,yes,,,,1721,31.08974358974359,64.837867893,,,3.7852457559,,,7.9366770788,,,,,,,,,,,1,,,,,,,,,,60.555,7,51
58,1718329768.0,,2024-06-14 01:49:28.464461+00:00,78,13.24370817,5.889589156,70.67506987,1,0.0,0.0,GEN,3,2,"The woman said to the serpent, ""We may eat fruit from the trees of the garden,",58,1,100.0,0.0,v2,,mac,qwerty,yes,,,,529,78.84615384615384,65.058402698,,,3.7052457559000005,,,7.6166770788,,,,,,,,,,,1,,,,,,,,,,60.73,7,52
59,1718329782.0,,2024-06-14 01:49:41.722091+00:00,147,26.57837196,5.530812806,66.36975368,1,0.0,0.0,GEN,3,3,"but not the fruit of the tree which is in the middle of the garden. God has said, 'You shall not eat of it. You shall not touch it, lest you die.'""",59,1,100.0,0.0,v2,,mac,qwerty,yes,,,,896,64.1426282051282,65.374141051,,,3.6072065402,,,7.4205986474,,,,,,,,,,,1,,,,,,,,,,60.825,7,53
60,1718329808.0,,2024-06-14 01:50:08.317856+00:00,53,8.755016708,6.053672057,72.64406468,1,0.0,0.0,GEN,3,4,"The serpent said to the woman, ""You won't really die,",60,1,100.0,0.0,v2,,mac,qwerty,yes,,,,385,84.61538461538461,65.338412008,,,3.6072065402,,,7.4205986474,,,,,,,,,,,1,,,,,,,,,,61.022,7,54
61,1718329817.0,,2024-06-14 01:50:17.218245+00:00,117,22.26804575,5.254165602,63.04998722,0,2.564102564,2.564102564,GEN,3,5,"for God knows that in the day you eat it, your eyes will be opened, and you will be like God, knowing good and evil.""",61,1,92.0,5.128205128,v2,,mac,qwerty,yes,,,,1196,52.12339743589743,64.72829492000001,,,3.6749375512999998,,,7.556060669600001,,,,,,,,,,,1,,,,,,,,,,61.055,7,55
62,1718330221.0,,2024-06-14 01:57:00.500803+00:00,245,48.42873417,5.05898005,60.7077606,0,4.081632653,4.081632653,GEN,3,6,"When the woman saw that the tree was good for food, and that it was a delight to the eyes, and that the tree was to be desired to make one wise, she took some of its fruit, and ate. Then she gave some to her husband with her, and he ate it, too.",62,1,96.2962963,8.163265306,v2,,mac,qwerty,yes,,,,1433,42.628205128205124,63.53499128299999,,,4.0831008166,,,8.3723872002,,,,,,,,,,,1,,,,,,,,,,61.05,7,56
