Percentile,WPM
0,0.1060509360231299
5,43.37695071782886
10,49.1448478143108
15,52.918668319479096
20,55.489469938912485
25,57.77554798045657
30,59.489201858528055
35,60.98646566109867
40,62.42598896921646
45,63.83609862863571
50,65.06330113391526
55,66.42206255414025
60,67.66906783393276
65,68.99850689336293
70,70.20948042198866
75,71.60732561350711
80,73.16710341516335
85,74.97236031302828
90,77.07868119363171
95,80.51902397721982
100,96.72247881394549
