Test_Number,Rank,Unix_Start_Time,Local_Start_Time,UTC_Start_Time,Characters,Seconds,CPS,WPM,Mistake_Free_Test,Backspaces as % of Verse Length,Incorrect Characters as % of Verse Length,Book,Chapter,Verse #,Verse,Verse_Order,Autostart,% of Words Typed Correctly,Extra Keystrokes %,Test Version,Location,Keyboard,Layout,Caffeine,Custom_1,Custom_2,Custom_3,WPM_Rank,WPM_Percentile,Last 10 Avg,Last 100 Avg,Last 1000 Avg,Incorrect Character % Last 10 Avg,Incorrect Character % Last 100 Avg,Incorrect Character % Last 1000 Avg,Extra Keystrokes % Last 10 Avg,Extra Keystrokes % Last 100 Avg,Extra Keystrokes % Last 1000 Avg,Local_Start_Year,Local_Start_Month,Local_Start_Date,Local_Start_Hour,Local_Start_Minute,Local_Start_10_Minute_Block,Local_Start_15_Minute_Block,Local_Start_30_Minute_Block,Count,Local_End_Time,Local_End_Year,Local_End_Month,Local_End_Date,Local_End_Hour,Local_End_Minute,Local_End_15_Minute_Block,Local_End_10_Minute_Block,Local_End_30_Minute_Block,cumulative_avg,Session,Test_#_Within_Session,Test #
4650,15,1724105699.8067589,2024-08-19 18:14:59.806764,2024-08-19 22:14:59.806782+00:00,122,16.025631917,7.612804326959634,91.3536519235156,1,0.0,0.0,NUM,30,1,"Moses spoke to the heads of the tribes of the children of Israel, saying, ""This is the thing which the LORD has commanded.",4650,1,100.0,0.0,v2,,,,,,,,15,99.73807296538821,75.1664294180036,72.71124382656303,64.79607970167459,4.782367504389145,3.5680938863298057,4.14727903980831,9.83500527904856,7.4749413036414145,8.61401570706383,2024.0,8.0,2024-08-19,18.0,14.0,2.0,1.0,1.0,1,2024-08-19 18:15:15.832395917,2024.0,8.0,2024-08-19,18.0,15.0,2.0,2.0,1.0,63.541,995,96,4650
5092,16,1725037387.589524,2024-08-30 13:03:07.589528,2024-08-30 17:03:07.589548+00:00,98,12.880971125,7.60812201572263,91.29746418867155,1,0.0,0.0,DEU,6,5,"You shall love the LORD your God with all your heart, with all your soul, and with all your might.",5092,1,100.0,0.0,v2,,,,,,,,16,99.71936389148736,56.77171943445793,62.46276242360984,65.04500975764302,3.467568746515726,3.648512149586547,4.154715747166233,7.440991929566247,7.8092099501441306,8.66259898146843,2024.0,8.0,2024-08-30,13.0,3.0,1.0,1.0,1.0,1,2024-08-30 13:03:20.470499125,2024.0,8.0,2024-08-30,13.0,3.0,1.0,1.0,1.0,63.619,1001,7,5092
2810,17,1721847662.988158,2024-07-24 15:01:02.988163,2024-07-24 19:01:02.988207+00:00,152,19.986885375,7.604986827518642,91.2598419302237,1,0.0,0.0,LEV,4,14,"when the sin in which they have sinned is known, then the assembly shall offer a young bull for a sin offering, and bring it before the Tent of Meeting.",2810,1,100.0,0.0,v2,,,,,,,,17,99.70065481758652,67.91841622493975,70.27252231890971,67.64946743647072,3.2149595319307998,4.263335681298474,3.430482487259713,6.531959880188128,8.930203407743933,7.188459388244421,2024.0,7.0,2024-07-24,15.0,1.0,1.0,1.0,1.0,1,2024-07-24 15:01:22.975048375,2024.0,7.0,2024-07-24,15.0,1.0,1.0,1.0,1.0,62.223,981,8,2810
2970,18,1721856521.856545,2024-07-24 17:28:41.856548,2024-07-24 21:28:41.856562+00:00,75,9.901030833,7.57496883557074,90.89962602684888,1,0.0,0.0,LEV,9,16,"He presented the burnt offering, and offered it according to the ordinance.",2970,1,100.0,0.0,v2,,,,,,,,18,99.68194574368569,79.82132771327964,72.04968711729185,68.36764308469874,3.4802351457393725,4.217924218564459,3.6337187412162235,7.158381754643901,8.832490251054827,7.60101039006398,2024.0,7.0,2024-07-24,17.0,28.0,3.0,2.0,1.0,1,2024-07-24 17:28:51.757578833,2024.0,7.0,2024-07-24,17.0,28.0,2.0,3.0,1.0,62.683,982,85,2970
4640,19,1724105488.612167,2024-08-19 18:11:28.612169,2024-08-19 22:11:28.612185+00:00,132,17.430206625,7.573059966522342,90.8767195982681,0,2.272727272727273,2.272727272727273,NUM,29,31,"and one male goat for a sin offering; in addition to the continual burnt offering, its meal offering, and the drink offerings of it.",4640,1,95.83333333333334,4.545454545454546,v2,,,,,,,,19,99.66323666978485,79.24324596392646,72.1746771073466,64.73484205081863,3.1710386240519086,3.3337540668666485,4.136029121298273,6.6350470422764944,6.995363669946138,8.5930366105645,2024.0,8.0,2024-08-19,18.0,11.0,2.0,1.0,1.0,1,2024-08-19 18:11:46.042375625,2024.0,8.0,2024-08-19,18.0,11.0,1.0,2.0,1.0,63.516,995,86,4640
2813,20,1721847719.478475,2024-07-24 15:01:59.478480,2024-07-24 19:01:59.478502+00:00,106,14.160393666,7.485667595139866,89.82801114167839,1,0.0,0.0,LEV,4,17,"The priest shall dip his finger in the blood and sprinkle it seven times before the LORD, before the veil.",2813,1,100.0,0.0,v2,,,,,,,,20,99.644527595884,71.0677342867185,70.51631674401561,67.67535155138124,3.256737707073236,4.284563079432199,3.433022248816164,6.615516230473004,8.972658204011383,7.191643176760168,2024.0,7.0,2024-07-24,15.0,1.0,1.0,1.0,1.0,1,2024-07-24 15:02:13.638873666,2024.0,7.0,2024-07-24,15.0,2.0,1.0,1.0,1.0,62.241,981,11,2813
1632,21,1720183476.497911,,2024-07-05 12:44:36.497969+00:00,107,14.30639688,7.479171795309222,89.75006154371067,1,0.0,0.0,EXO,4,30,"Aaron spoke all the words which the LORD had spoken to Moses, and did the signs in the sight of the people.",1632,1,100.0,0.0,v2,home,mac,qwerty,yes,,,,21,99.62581852198316,67.74708384482705,65.32576513779753,60.45156518876599,3.5166201550459206,3.437925254690417,3.917768088488122,7.033240310050607,7.2978172589655905,8.218433842617461,,,,,,,,,1,,,,,,,,,,58.3,677,102,1632
2975,22,1721856617.5696378,2024-07-24 17:30:17.569640,2024-07-24 21:30:17.569651+00:00,100,13.372054958,7.478282157386269,89.73938588863524,0,3.0,3.0,LEV,9,21,"Aaron waved the breasts and the right thigh for a wave offering before the LORD, as Moses commanded.",2975,1,94.44444444444444,6.0,v2,,,,,,,,22,99.60710944808233,82.935661700533,72.1517387924646,68.42242451219917,2.6390319377597815,4.390786259092661,3.624927430601487,5.417924015379703,9.192200346097247,7.582743036899775,2024.0,7.0,2024-07-24,17.0,30.0,4.0,3.0,2.0,1,2024-07-24 17:30:30.941694958,2024.0,7.0,2024-07-24,17.0,30.0,3.0,4.0,2.0,62.709,982,90,2975
2968,23,1721856488.694883,2024-07-24 17:28:08.694887,2024-07-24 21:28:08.694908+00:00,87,11.654960208,7.464632950036409,89.5755954004369,1,0.0,0.0,LEV,9,14,"He washed the innards and the legs, and burned them on the burnt offering on the altar.",2968,1,100.0,0.0,v2,,,,,,,,23,99.58840037418148,73.81841564599901,71.81869570860493,68.34779976400488,8.328871056189838,4.231638719830827,3.6347118657387596,16.855653575544835,8.868218008774285,7.602996639108875,2024.0,7.0,2024-07-24,17.0,28.0,3.0,2.0,1.0,1,2024-07-24 17:28:20.349847208,2024.0,7.0,2024-07-24,17.0,28.0,2.0,3.0,1.0,62.666,982,83,2968
2288,24,1720563888.210229,,2024-07-09 22:24:48.210254+00:00,101,13.54354883,7.457425025404344,89.48910030485213,0,1.98019802,1.98019802,EXO,27,15,"For the other side shall be hangings of fifteen cubits; their pillars three, and their sockets three.",2288,1,100.0,3.96039604,v2,,mac,qwerty,,,,,24,99.56969130028064,79.03810031828861,70.22067695671457,66.27884936696229,2.136078293836615,4.041810531370496,3.5489892724861822,4.4644642799809215,8.466480483353266,7.437179553400054,,,,,,,,,1,,,,,,,,,,60.954,890,5,2288
